ts_iso,device,sound_raw,sound_adj,ts_ms_device
2025-10-30T05:05:34.799118,esp32-sound,66,16,6197500
2025-10-30T05:05:37.544502,esp32-sound,66,16,6200038
2025-10-30T05:05:39.782535,esp32-sound,67,17,6202768
2025-10-30T05:05:42.362603,esp32-sound,66,16,6205079
2025-10-30T05:05:44.742757,esp32-sound,66,16,6207580
2025-10-30T05:05:47.277126,esp32-sound,66,16,6210092
2025-10-30T05:05:49.736750,esp32-sound,67,17,6212503
2025-10-30T05:05:52.500696,esp32-sound,66,16,6215011
2025-10-30T05:05:55.039831,esp32-sound,66,16,6217776
2025-10-30T05:05:57.401978,esp32-sound,66,16,6220334
2025-10-30T05:05:59.772527,esp32-sound,66,16,6222694
2025-10-30T05:06:02.317859,esp32-sound,66,16,6225149
2025-10-30T05:06:04.790419,esp32-sound,66,16,6227537
2025-10-30T05:06:07.251446,esp32-sound,66,16,6230014
2025-10-30T05:06:09.992254,esp32-sound,66,16,6232723
2025-10-30T05:06:12.368053,esp32-sound,64,14,6235288
2025-10-30T05:06:14.727104,esp32-sound,66,16,6237644
2025-10-30T05:06:17.052720,esp32-sound,66,16,6240000
2025-10-30T05:06:19.434602,esp32-sound,65,15,6242355
2025-10-30T05:06:21.788021,esp32-sound,66,16,6244650
2025-10-30T05:06:24.143522,esp32-sound,66,16,6247066
2025-10-30T05:06:26.703382,esp32-sound,66,16,6249421
2025-10-30T05:06:29.367605,esp32-sound,66,16,6251978
2025-10-30T05:06:31.824807,esp32-sound,67,17,6254639
2025-10-30T05:06:34.383936,esp32-sound,65,15,6257300
2025-10-30T05:06:36.853951,esp32-sound,66,16,6259661
2025-10-30T05:06:39.299388,esp32-sound,66,16,6262075
2025-10-30T05:06:41.757054,esp32-sound,66,16,6264574
2025-10-30T05:06:44.117515,esp32-sound,65,15,6267035
2025-10-30T05:06:46.650485,esp32-sound,66,16,6269389
2025-10-30T05:06:49.232528,esp32-sound,65,15,6271944
2025-10-30T05:06:51.690646,esp32-sound,65,15,6274507
2025-10-30T05:06:54.146179,esp32-sound,66,16,6277065
2025-10-30T05:06:56.607397,esp32-sound,66,16,6279424
2025-10-30T05:06:59.164302,esp32-sound,66,16,6281980
2025-10-30T05:07:01.727161,esp32-sound,66,16,6284440
2025-10-30T05:07:04.490182,esp32-sound,66,16,6287099
2025-10-30T05:07:07.050359,esp32-sound,66,16,6289765
2025-10-30T05:07:09.493465,esp32-sound,66,16,6292324
